row_id,condition,cond_row_id,matrix,base_idx,param_j,f_cl_i,f_cl_v,E_m_v,L_hat,gamma_s,E_a0_conv,dH2_abs_conv,loop_net_K_rec,loop_net_w_c,loop_net_chi
1,N330,1,A,0,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,1,5
2,N330,2,A,1,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,1,15
3,N330,3,A,2,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,1,30
4,N330,4,A,3,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,1,60
5,N330,5,A,4,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,50,5
6,N330,6,A,5,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,150,5
7,N330,7,A,6,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,150,30
8,N330,8,A,7,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.0001,200,60
9,N330,9,A,8,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,1e-05,150,30
10,N330,10,A,9,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.001,150,30
11,N330,11,A,10,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.001,200,60
12,N330,12,A,11,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,1e-06,1,1
